,cash_or_card,city,latitude,longitude,product_category,sale,segment,timestamp
66,card,Dublin,53.33592955,-6.265190989,Men,68.3551855367661,Apparel,2019-05-16 06:05:42.846788+00:00
67,card,cork,51.8943955141,-8.468541019,Meat,11.0,Grocery,2019-05-16 06:05:43.065041+00:00
68,cash,Dublin,53.34615699,-6.261851639,Fruits,9.0,Grocery,2019-05-16 06:05:43.122688+00:00
69,card,Dublin,53.33737258,-6.265628189,Women,83.312488048585,Apparel,2019-05-16 06:05:43.400155+00:00
70,card,Dublin,53.33977164,-6.261006743,Laptops,1652.0,Technology,2019-05-16 06:05:43.676337+00:00
71,cash,Dublin,53.34901748,-6.255399585,Fruits,9.0,Grocery,2019-05-16 06:05:43.950754+00:00
72,cash,cork,51.8796132828,-8.4801015668,Women,83.6034335821585,Apparel,2019-05-16 06:05:44.092825+00:00
73,cash,Dublin,53.34846669,-6.264009476,Cell Phones,503.0,Technology,2019-05-16 06:05:44.230019+00:00
74,card,Dublin,53.351182,-6.269859,Home Appliances,17.0,Technology,2019-05-16 06:05:44.506987+00:00
75,card,Dublin,53.34402251,-6.266876757,Women,83.312488048585,Apparel,2019-05-16 06:05:44.790065+00:00
76,cash,Dublin,53.34274225,-6.263002306,Indian,39.0,Restaurants,2019-05-16 06:05:45.061345+00:00
77,card,cork,51.8760222205,-8.4830060574,Men,35.071561281075,Apparel,2019-05-16 06:05:45.120973+00:00
78,cash,Dublin,53.347692,-6.278214,Laptops,1652.0,Technology,2019-05-16 06:05:45.339074+00:00
79,cash,Dublin,53.34393043,-6.264283061,Indian,39.0,Restaurants,2019-05-16 06:05:45.615016+00:00
80,card,Dublin,53.359624,-6.260348,Indian,39.0,Restaurants,2019-05-16 06:05:45.890584+00:00
81,cash,Dublin,53.35105325,-6.264296472,Office Equipment,24.0,Technology,2019-05-16 06:05:46.167322+00:00
82,card,cork,51.8796132828,-8.4801015668,Kids and Babies,34.1266691758063,Apparel,2019-05-16 06:05:46.161313+00:00
83,cash,Dublin,53.336074,-6.252825,Laptops,1652.0,Technology,2019-05-16 06:05:46.437546+00:00
84,cash,Dublin,53.33863779,-6.266168654,Office Equipment,24.0,Technology,2019-05-16 06:05:46.720545+00:00
85,card,Dublin,53.34867644,-6.257420629,Men,68.3551855367661,Apparel,2019-05-16 06:05:46.995495+00:00
86,cash,cork,51.8908514366,-8.4922608116,Food Grains,3.0,Grocery,2019-05-16 06:05:47.192168+00:00
87,card,Dublin,53.33578381,-6.265365332,Men,68.3551855367661,Apparel,2019-05-16 06:05:47.272856+00:00
88,cash,Dublin,53.354929,-6.269425,Laptops,1652.0,Technology,2019-05-16 06:05:47.551705+00:00
89,card,Dublin,53.34736269,-6.26842171,Women,83.312488048585,Apparel,2019-05-16 06:05:47.834622+00:00
90,card,Dublin,53.33690652,-6.25215143,Cell Phones,503.0,Technology,2019-05-16 06:05:48.113175+00:00
91,card,cork,51.9046376591,-8.4221239749,Chinese,16.0,Restaurants,2019-05-16 06:05:48.220489+00:00
92,card,Dublin,53.33689879,-6.27295291,Men,68.3551855367661,Apparel,2019-05-16 06:05:48.391297+00:00
93,cash,Dublin,53.347777,-6.244239,Leafy Veggies,5.0,Grocery,2019-05-16 06:05:48.668300+00:00
94,cash,Dublin,53.335211,-6.2509,Laptops,1652.0,Technology,2019-05-16 06:05:48.946377+00:00
95,cash,Dublin,53.352234,-6.259013861,Women,83.312488048585,Apparel,2019-05-16 06:05:49.219675+00:00
96,card,cork,51.8800581604,-8.4756651719,Fruits,5.0,Grocery,2019-05-16 06:05:49.250646+00:00
97,cash,Dublin,53.34338438,-6.249659657,Home Appliances,17.0,Technology,2019-05-16 06:05:49.498263+00:00
98,card,Dublin,53.35134383,-6.269626021,Indian,39.0,Restaurants,2019-05-16 06:05:49.774240+00:00
99,card,Dublin,53.34610495,-6.271288991,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:05:50.050291+00:00
100,cash,cork,51.8966634465,-8.5003857598,Japanese,32.0,Restaurants,2019-05-16 06:05:50.278673+00:00
101,cash,Dublin,53.34612577,-6.293238848,Men,68.3551855367661,Apparel,2019-05-16 06:05:50.327025+00:00
102,cash,Dublin,53.34945698,-6.248142868,Home Appliances,17.0,Technology,2019-05-16 06:05:50.604734+00:00
103,card,Dublin,53.343368,-6.27012,Mexican,23.0,Restaurants,2019-05-16 06:05:50.883958+00:00
104,card,Dublin,53.33909421,-6.25698477,Leafy Veggies,5.0,Grocery,2019-05-16 06:05:51.161655+00:00
105,card,cork,51.8801060292,-8.5189003825,Leafy Veggies,7.0,Grocery,2019-05-16 06:05:51.306596+00:00
106,cash,Dublin,53.34960348,-6.24969855,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:05:51.436534+00:00
107,cash,Dublin,53.33771531,-6.251306534,Cell Phones,503.0,Technology,2019-05-16 06:05:51.714110+00:00
108,card,Dublin,53.34736269,-6.26842171,Men,68.3551855367661,Apparel,2019-05-16 06:05:51.986640+00:00
109,cash,Dublin,53.354929,-6.269425,Cell Phones,503.0,Technology,2019-05-16 06:05:52.263584+00:00
110,cash,cork,51.8915115004,-8.5127747416,Indian,22.0,Restaurants,2019-05-16 06:05:52.334081+00:00
111,cash,Dublin,53.34913596,-6.258242726,Korean,17.0,Restaurants,2019-05-16 06:05:52.538449+00:00
112,card,Dublin,53.34618021,-6.257003546,Leafy Veggies,5.0,Grocery,2019-05-16 06:05:52.817612+00:00
113,card,Dublin,53.3471065,-6.266077459,Cell Phones,503.0,Technology,2019-05-16 06:05:53.094223+00:00
114,card,cork,51.8790225127,-8.5205208468,Meat,11.0,Grocery,2019-05-16 06:05:53.363591+00:00
115,card,Dublin,53.35383416,-6.258065701,Mexican,23.0,Restaurants,2019-05-16 06:05:53.372721+00:00
116,cash,Dublin,53.34312737,-6.263764054,Men,68.3551855367661,Apparel,2019-05-16 06:05:53.650397+00:00
117,card,Dublin,53.35103243,-6.249909103,Indian,39.0,Restaurants,2019-05-16 06:05:53.933546+00:00
118,cash,Dublin,53.347477,-6.28525,Korean,17.0,Restaurants,2019-05-16 06:05:54.210136+00:00
119,card,cork,51.9032698304,-8.4938193419,Korean,25.0,Restaurants,2019-05-16 06:05:54.397515+00:00
120,card,Dublin,53.33794353,-6.252391487,Men,68.3551855367661,Apparel,2019-05-16 06:05:54.488933+00:00
121,card,Dublin,53.34337317,-6.245094538,Mexican,23.0,Restaurants,2019-05-16 06:05:54.759265+00:00
122,card,Dublin,53.35171207,-6.260890067,Office Equipment,24.0,Technology,2019-05-16 06:05:55.035636+00:00
123,card,Dublin,53.34562138,-6.262601316,Indian,39.0,Restaurants,2019-05-16 06:05:55.309791+00:00
124,card,cork,51.8880714784,-8.5004210975,Chinese,16.0,Restaurants,2019-05-16 06:05:55.418629+00:00
125,card,Dublin,53.34312737,-6.263764054,Women,83.312488048585,Apparel,2019-05-16 06:05:55.586665+00:00
126,cash,Dublin,53.3481929,-6.260793507,Japanese,21.0,Restaurants,2019-05-16 06:05:55.863498+00:00
127,cash,Dublin,53.34846669,-6.264009476,Laptops,1652.0,Technology,2019-05-16 06:05:56.142414+00:00
128,cash,Dublin,53.34573587,-6.26025036,Indian,39.0,Restaurants,2019-05-16 06:05:56.418764+00:00
129,card,cork,51.8796467651,-8.5254282112,Chinese,16.0,Restaurants,2019-05-16 06:05:56.445808+00:00
130,card,Dublin,53.33777617,-6.248077154,Indian,39.0,Restaurants,2019-05-16 06:05:56.696257+00:00
131,card,Dublin,53.34796313,-6.26718387,Mexican,23.0,Restaurants,2019-05-16 06:05:56.972539+00:00
132,card,Dublin,53.347082,-6.264192,Cell Phones,503.0,Technology,2019-05-16 06:05:57.247906+00:00
133,cash,cork,51.9200522354,-8.4897065713,Meat,11.0,Grocery,2019-05-16 06:05:57.478031+00:00
134,card,Dublin,53.3471065,-6.266077459,Laptops,1652.0,Technology,2019-05-16 06:05:57.522924+00:00
135,cash,Dublin,53.33662064,-6.265439093,Cell Phones,503.0,Technology,2019-05-16 06:05:57.801264+00:00
136,cash,Dublin,53.33403,-6.260714,Cell Phones,503.0,Technology,2019-05-16 06:05:58.083253+00:00
137,card,Dublin,53.337494,-6.26199,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:05:58.362696+00:00
138,card,cork,51.8958342501,-8.4206812137,Japanese,32.0,Restaurants,2019-05-16 06:05:58.509230+00:00
139,card,Dublin,53.33147532,-6.2615502,Mexican,23.0,Restaurants,2019-05-16 06:05:58.640715+00:00
140,cash,Dublin,53.351464,-6.255265,Indian,39.0,Restaurants,2019-05-16 06:05:58.918014+00:00
141,card,Dublin,53.34794472,-6.257094741,Men,68.3551855367661,Apparel,2019-05-16 06:05:59.191958+00:00
142,card,Dublin,53.357043,-6.263232,Women,83.312488048585,Apparel,2019-05-16 06:05:59.466386+00:00
143,card,cork,51.8890361623,-8.4731781067,Chinese,16.0,Restaurants,2019-05-16 06:05:59.540084+00:00
144,card,Dublin,53.33592875,-6.263420731,Women,83.312488048585,Apparel,2019-05-16 06:05:59.741529+00:00
145,card,Dublin,53.334019,-6.258371,Meat,19.0,Grocery,2019-05-16 06:06:00.016617+00:00
146,cash,Dublin,53.35237568,-6.25944972,Laptops,1652.0,Technology,2019-05-16 06:06:00.289489+00:00
147,cash,Dublin,53.33777617,-6.248077154,Mexican,23.0,Restaurants,2019-05-16 06:06:00.562349+00:00
148,cash,cork,51.8776968324,-8.5157706593,Men,35.071561281075,Apparel,2019-05-16 06:06:00.566895+00:00
149,card,Dublin,53.33091783,-6.258653104,Office Equipment,24.0,Technology,2019-05-16 06:06:00.843415+00:00
150,card,Dublin,53.34064683,-6.263308078,Meat,19.0,Grocery,2019-05-16 06:06:01.121132+00:00
151,card,Dublin,53.35073624,-6.270769984,Mexican,23.0,Restaurants,2019-05-16 06:06:01.399939+00:00
152,cash,cork,51.8846293431,-8.48973748,Korean,25.0,Restaurants,2019-05-16 06:06:01.599260+00:00
153,cash,Dublin,53.34867644,-6.257420629,Men,68.3551855367661,Apparel,2019-05-16 06:06:01.677624+00:00
154,cash,Dublin,53.347106,-6.292041,Men,68.3551855367661,Apparel,2019-05-16 06:06:01.954642+00:00
155,card,Dublin,53.33936646,-6.241157055,Laptops,1652.0,Technology,2019-05-16 06:06:02.230654+00:00
156,card,Dublin,53.3509772,-6.264474839,Office Equipment,24.0,Technology,2019-05-16 06:06:02.506967+00:00
157,card,cork,51.8881107207,-8.4679400697,Cell Phones,1176.0,Technology,2019-05-16 06:06:02.630488+00:00
158,cash,Dublin,53.340714,-6.308191,Korean,17.0,Restaurants,2019-05-16 06:06:02.788807+00:00
159,cash,Dublin,53.337757,-6.267699,Office Equipment,24.0,Technology,2019-05-16 06:06:03.076500+00:00
160,card,Dublin,53.34166909,-6.27478408,Cell Phones,503.0,Technology,2019-05-16 06:06:03.368923+00:00
161,cash,Dublin,53.334432,-6.245575,Korean,17.0,Restaurants,2019-05-16 06:06:03.649806+00:00
162,cash,cork,51.8985917976,-8.4108012471,Mexican,17.0,Restaurants,2019-05-16 06:06:03.665182+00:00
163,card,Dublin,53.34900307,-6.24368906,Women,83.312488048585,Apparel,2019-05-16 06:06:03.936638+00:00
164,card,Dublin,53.347508,-6.252192,Korean,17.0,Restaurants,2019-05-16 06:06:04.213186+00:00
165,cash,Dublin,53.34851312,-6.251051724,Laptops,1652.0,Technology,2019-05-16 06:06:04.490386+00:00
166,cash,cork,51.9049061487,-8.4446403754,Leafy Veggies,7.0,Grocery,2019-05-16 06:06:04.719029+00:00
167,card,Dublin,53.34536358,-6.264875829,Mexican,23.0,Restaurants,2019-05-16 06:06:04.767018+00:00
168,cash,Dublin,53.34181265,-6.252918541,Mexican,23.0,Restaurants,2019-05-16 06:06:05.042525+00:00
169,card,Dublin,53.347884,-6.248048,Indian,39.0,Restaurants,2019-05-16 06:06:05.313893+00:00
170,cash,Dublin,53.34506734,-6.267238855,Home Appliances,17.0,Technology,2019-05-16 06:06:05.590269+00:00
171,cash,cork,51.8916711068,-8.438365296,Home Appliances,177.0,Technology,2019-05-16 06:06:05.748817+00:00
172,cash,Dublin,53.343368,-6.27012,Mexican,23.0,Restaurants,2019-05-16 06:06:05.867837+00:00
173,card,Dublin,53.34124416,-6.256929785,Cell Phones,503.0,Technology,2019-05-16 06:06:06.144675+00:00
174,cash,Dublin,53.34330432,-6.259318292,Leafy Veggies,5.0,Grocery,2019-05-16 06:06:06.420001+00:00
175,card,Dublin,53.34158766,-6.255081743,Office Equipment,24.0,Technology,2019-05-16 06:06:06.699923+00:00
176,cash,cork,51.888565312,-8.4877920046,Home Appliances,177.0,Technology,2019-05-16 06:06:06.774997+00:00
177,cash,Dublin,53.34818009,-6.257389784,Chinese,30.0,Restaurants,2019-05-16 06:06:06.979142+00:00
178,cash,Dublin,53.34296563,-6.264303178,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:06:07.254588+00:00
179,cash,Dublin,53.34846669,-6.264009476,Cell Phones,503.0,Technology,2019-05-16 06:06:07.528287+00:00
180,cash,Dublin,53.341833,-6.231291,Women,83.312488048585,Apparel,2019-05-16 06:06:07.798650+00:00
181,cash,cork,51.906532168,-8.4580959728,Meat,11.0,Grocery,2019-05-16 06:06:07.804965+00:00
182,card,Dublin,53.35812925,-6.269145906,Leafy Veggies,5.0,Grocery,2019-05-16 06:06:08.074864+00:00
183,card,Dublin,53.34380633,-6.26198709,Women,83.312488048585,Apparel,2019-05-16 06:06:08.354624+00:00
184,card,Dublin,53.34790949,-6.263314784,Men,68.3551855367661,Apparel,2019-05-16 06:06:08.629383+00:00
185,card,cork,51.8876622918,-8.5389721028,Chinese,16.0,Restaurants,2019-05-16 06:06:08.835907+00:00
186,cash,Dublin,53.34601317,-6.25398474,Indian,39.0,Restaurants,2019-05-16 06:06:08.904473+00:00
187,card,Dublin,53.346985,-6.297804,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:06:09.178791+00:00
188,card,Dublin,53.342081,-6.275233,Cell Phones,503.0,Technology,2019-05-16 06:06:09.459915+00:00
189,cash,Dublin,53.3447647,-6.268185675,Men,68.3551855367661,Apparel,2019-05-16 06:06:09.736211+00:00
190,card,cork,51.8922284682,-8.5067140808,Mexican,17.0,Restaurants,2019-05-16 06:06:09.863478+00:00
191,cash,Dublin,53.343565,-6.275071,Laptops,1652.0,Technology,2019-05-16 06:06:10.011962+00:00
192,cash,Dublin,53.34397447,-6.249292195,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:06:10.291003+00:00
193,cash,Dublin,53.341805,-6.305085,Indian,39.0,Restaurants,2019-05-16 06:06:10.568478+00:00
194,cash,Dublin,53.35275832,-6.268642992,Mexican,23.0,Restaurants,2019-05-16 06:06:10.846081+00:00
195,cash,cork,51.9046376591,-8.4221239749,Japanese,32.0,Restaurants,2019-05-16 06:06:10.891017+00:00
196,card,Dublin,53.34339079,-6.264492273,Chinese,30.0,Restaurants,2019-05-16 06:06:11.124140+00:00
197,cash,Dublin,53.34330432,-6.259318292,Leafy Veggies,5.0,Grocery,2019-05-16 06:06:11.402508+00:00
198,card,Dublin,53.34744,-6.238523,Women,83.312488048585,Apparel,2019-05-16 06:06:11.677321+00:00
199,cash,cork,51.8841044572,-8.486275329,Food Grains,3.0,Grocery,2019-05-16 06:06:11.919146+00:00
200,cash,Dublin,53.34093668,-6.292752028,Laptops,1652.0,Technology,2019-05-16 06:06:11.952915+00:00
201,cash,Dublin,53.33578381,-6.265365332,Women,83.312488048585,Apparel,2019-05-16 06:06:12.231969+00:00
202,cash,Dublin,53.347106,-6.292041,Women,83.312488048585,Apparel,2019-05-16 06:06:12.511500+00:00
203,cash,Dublin,53.35221799,-6.249542981,Cell Phones,503.0,Technology,2019-05-16 06:06:12.790802+00:00
204,card,cork,51.8836452236,-8.4869047704,Japanese,32.0,Restaurants,2019-05-16 06:06:12.947038+00:00
205,cash,Dublin,53.34326188,-6.275891662,Women,83.312488048585,Apparel,2019-05-16 06:06:13.075027+00:00
206,card,Dublin,53.347777,-6.244239,Fruits,9.0,Grocery,2019-05-16 06:06:13.352572+00:00
207,card,Dublin,53.34989648,-6.267784685,Chinese,30.0,Restaurants,2019-05-16 06:06:13.628339+00:00
208,cash,Dublin,53.3378138,-6.240792274,Japanese,21.0,Restaurants,2019-05-16 06:06:13.904481+00:00
209,cash,cork,51.9109595937,-8.4521254521,Women,83.6034335821585,Apparel,2019-05-16 06:06:13.978625+00:00
210,card,Dublin,53.33788988,-6.248227358,Women,83.312488048585,Apparel,2019-05-16 06:06:14.182378+00:00
211,card,Dublin,53.34796313,-6.26718387,Indian,39.0,Restaurants,2019-05-16 06:06:14.461633+00:00
212,cash,Dublin,53.35013744,-6.269459724,Office Equipment,24.0,Technology,2019-05-16 06:06:14.738886+00:00
213,cash,cork,51.8888579587,-8.4742163116,Women,83.6034335821585,Apparel,2019-05-16 06:06:15.006486+00:00
214,card,Dublin,53.34181265,-6.252918541,Chinese,30.0,Restaurants,2019-05-16 06:06:15.016329+00:00
215,cash,Dublin,53.33232339,-6.274455339,Mexican,23.0,Restaurants,2019-05-16 06:06:15.291671+00:00
216,card,Dublin,53.33771531,-6.251306534,Laptops,1652.0,Technology,2019-05-16 06:06:15.568411+00:00
217,card,Dublin,53.349013,-6.260311,Laptops,1652.0,Technology,2019-05-16 06:06:15.846108+00:00
218,card,cork,51.8823074179,-8.4713941304,Leafy Veggies,7.0,Grocery,2019-05-16 06:06:16.035753+00:00
219,cash,Dublin,53.35602898,-6.256683022,Men,68.3551855367661,Apparel,2019-05-16 06:06:16.116457+00:00
220,card,Dublin,53.34511458,-6.266537458,Mexican,23.0,Restaurants,2019-05-16 06:06:16.394264+00:00
221,card,Dublin,53.3428119,-6.262051463,Cell Phones,503.0,Technology,2019-05-16 06:06:16.672105+00:00
222,cash,Dublin,53.343456,-6.287409,Office Equipment,24.0,Technology,2019-05-16 06:06:16.946469+00:00
223,cash,cork,51.8922761504,-8.4023043685,Meat,11.0,Grocery,2019-05-16 06:06:17.061916+00:00
224,card,Dublin,53.334432,-6.245575,Japanese,21.0,Restaurants,2019-05-16 06:06:17.226079+00:00
225,card,Dublin,53.34211451,-6.262504756,Women,83.312488048585,Apparel,2019-05-16 06:06:17.502933+00:00
226,cash,Dublin,53.34207047,-6.264417171,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:06:17.772819+00:00
227,card,Dublin,53.33800839,-6.255581975,Laptops,1652.0,Technology,2019-05-16 06:06:18.049911+00:00
228,card,cork,51.8981153961,-8.4725256344,Korean,25.0,Restaurants,2019-05-16 06:06:18.101976+00:00
229,card,Dublin,53.33919831,-6.273295283,Indian,39.0,Restaurants,2019-05-16 06:06:18.324379+00:00
230,card,Dublin,53.34867644,-6.257420629,Kids and Babies,13.7097056882924,Apparel,2019-05-16 06:06:18.599112+00:00
231,card,Dublin,53.345203,-6.247163,Office Equipment,24.0,Technology,2019-05-16 06:06:18.875015+00:00
232,card,cork,51.9117665631,-8.4285920511,Japanese,32.0,Restaurants,2019-05-16 06:06:19.137966+00:00
233,card,Dublin,53.33592875,-6.263420731,Women,83.312488048585,Apparel,2019-05-16 06:06:19.150444+00:00
234,card,Dublin,53.34880213,-6.256624013,Leafy Veggies,5.0,Grocery,2019-05-16 06:06:19.426924+00:00
235,card,Dublin,53.347692,-6.278214,Cell Phones,503.0,Technology,2019-05-16 06:06:19.701734+00:00
236,card,Dublin,53.34326188,-6.275891662,Men,68.3551855367661,Apparel,2019-05-16 06:06:19.978381+00:00
237,card,cork,51.8836452236,-8.4869047704,Mexican,17.0,Restaurants,2019-05-16 06:06:20.166299+00:00
238,cash,Dublin,53.348279,-6.254662,Men,68.3551855367661,Apparel,2019-05-16 06:06:20.254310+00:00
239,cash,Dublin,53.347692,-6.278214,Cell Phones,503.0,Technology,2019-05-16 06:06:20.530237+00:00
240,card,Dublin,53.35003177,-6.274377555,Men,68.3551855367661,Apparel,2019-05-16 06:06:20.809110+00:00
241,cash,Dublin,53.34880213,-6.256624013,Fruits,9.0,Grocery,2019-05-16 06:06:21.089621+00:00
242,cash,cork,51.9049996936,-8.4594466804,Korean,25.0,Restaurants,2019-05-16 06:06:21.195344+00:00
